family,L,M,N,K,p,shots,fails,wer,seconds
toric_surface_mwpm_uninformed,12,12,288,2,0.3,20000,13020,0.651,3.527834
toric_surface_mwpm_uninformed,12,12,288,2,0.32,20000,13783,0.68915,3.971843
toric_surface_mwpm_uninformed,12,12,288,2,0.34,20000,14188,0.7094,3.731169
toric_surface_mwpm_uninformed,12,12,288,2,0.36,20000,14560,0.728,3.886242
toric_surface_mwpm_uninformed,12,12,288,2,0.38,20000,14740,0.737,4.385278
toric_surface_mwpm_uninformed,12,12,288,2,0.4,20000,14795,0.73975,4.460547
toric_surface_mwpm_uninformed,12,12,288,2,0.42,20000,14921,0.74605,4.924097
toric_surface_mwpm_uninformed,12,12,288,2,0.44,20000,14938,0.7469,5.056869
toric_surface_mwpm_uninformed,12,12,288,2,0.46,20000,15080,0.754,4.762912
toric_surface_mwpm_uninformed,12,12,288,2,0.48,20000,15015,0.75075,5.233117
toric_surface_mwpm_uninformed,12,12,288,2,0.5,20000,15045,0.75225,5.769932
toric_surface_mwpm_uninformed,12,12,288,2,0.52,20000,14914,0.7457,5.198506
toric_surface_mwpm_uninformed,12,12,288,2,0.54,20000,15030,0.7515,4.841695
toric_surface_mwpm_uninformed,12,12,288,2,0.56,20000,15024,0.7512,4.907513
toric_surface_mwpm_uninformed,12,12,288,2,0.58,20000,15023,0.75115,5.007048
toric_surface_mwpm_uninformed,12,12,288,2,0.6,20000,15036,0.7518,4.997026
toric_surface_mwpm_uninformed,18,18,648,2,0.3,20000,14117,0.70585,8.711385
toric_surface_mwpm_uninformed,18,18,648,2,0.32,20000,14528,0.7264,8.774661
toric_surface_mwpm_uninformed,18,18,648,2,0.34,20000,14785,0.73925,4.98854
toric_surface_mwpm_uninformed,18,18,648,2,0.36,20000,14931,0.74655,5.190629
toric_surface_mwpm_uninformed,18,18,648,2,0.38,20000,14909,0.74545,5.121204
toric_surface_mwpm_uninformed,18,18,648,2,0.4,20000,14874,0.7437,5.504793
toric_surface_mwpm_uninformed,18,18,648,2,0.42,20000,14941,0.74705,5.910174
toric_surface_mwpm_uninformed,18,18,648,2,0.44,20000,15006,0.7503,5.493932
toric_surface_mwpm_uninformed,18,18,648,2,0.46,20000,15000,0.75,5.730956
toric_surface_mwpm_uninformed,18,18,648,2,0.48,20000,15068,0.7534,5.616442
toric_surface_mwpm_uninformed,18,18,648,2,0.5,20000,15030,0.7515,5.722701
toric_surface_mwpm_uninformed,18,18,648,2,0.52,20000,15076,0.7538,5.927698
toric_surface_mwpm_uninformed,18,18,648,2,0.54,20000,15050,0.7525,5.8235
toric_surface_mwpm_uninformed,18,18,648,2,0.56,20000,15056,0.7528,6.003269
toric_surface_mwpm_uninformed,18,18,648,2,0.58,20000,15048,0.7524,5.958749
toric_surface_mwpm_uninformed,18,18,648,2,0.6,20000,15090,0.7545,7.294238
toric_surface_mwpm_uninformed,24,24,1152,2,0.3,20000,14585,0.72925,9.908832
toric_surface_mwpm_uninformed,24,24,1152,2,0.32,20000,14816,0.7408,9.326278
toric_surface_mwpm_uninformed,24,24,1152,2,0.34,20000,14849,0.74245,9.146006
toric_surface_mwpm_uninformed,24,24,1152,2,0.36,20000,14991,0.74955,9.489727
toric_surface_mwpm_uninformed,24,24,1152,2,0.38,20000,15035,0.75175,10.154671
toric_surface_mwpm_uninformed,24,24,1152,2,0.4,20000,15057,0.75285,14.5337
toric_surface_mwpm_uninformed,24,24,1152,2,0.42,20000,15031,0.75155,12.343017
toric_surface_mwpm_uninformed,24,24,1152,2,0.44,20000,14903,0.74515,11.790532
toric_surface_mwpm_uninformed,24,24,1152,2,0.46,20000,14916,0.7458,12.58245
toric_surface_mwpm_uninformed,24,24,1152,2,0.48,20000,14909,0.74545,13.062775
toric_surface_mwpm_uninformed,24,24,1152,2,0.5,20000,14986,0.7493,20.938575
toric_surface_mwpm_uninformed,24,24,1152,2,0.52,20000,15035,0.75175,22.80285
toric_surface_mwpm_uninformed,24,24,1152,2,0.54,20000,14917,0.74585,16.605502
toric_surface_mwpm_uninformed,24,24,1152,2,0.56,20000,14955,0.74775,14.922931
toric_surface_mwpm_uninformed,24,24,1152,2,0.58,20000,15121,0.75605,14.285274
toric_surface_mwpm_uninformed,24,24,1152,2,0.6,20000,14928,0.7464,12.702416
